Bri Synchron | Tuning
Red Resonator | Resonator Call
Glow-up Bulb | One for One
Psychic Wheelder | Emergency Teleport
Junk Forward | The Warrior Returning Alive
Frostosaurus | Summoner's Art
Blue-Eyes Chaos MAX Dragon | Chaos Form
Odd-Eyes Pendulum Dragon | Spiral Flame Strike
Metaion, the Timelord | Ante
Masked Chopper | Moon Mirror Shield
Destiny HERO - Plasma | Scapegoat
Leotron | Unexpected Dai
Battlin' Boxer Veil | Reinforcement of the Army
Heroic Challenger - Thousand Blades | Foolish Burial
Giant Rex | Gold Sarcophagus
Spell Striker | Shard of Greed
Summoner Monk | Night Beam
Balancer Lord | Cynet Backdoor
Fabled Raven | Unizong Tune
QuillBolt Hedgehog | Iron Call
